year,category,nominee,workers,winner
1961,Best Soundtrack Album or Recording of Original Cast from a Motion Picture or TV,Can-Can,Cole Porter (film score),TRUE
1961,Best Soundtrack Album or Recording of Original Cast from a Motion Picture or TV,G.I. Blues,Elvis Presley,FALSE
1961,"Best Vocal Performance Album, Female",Mack The Knife - Ella In Berlin.,Ella Fitzgerald (artist),TRUE
1961,"Best Vocal Performance Album, Male",The Genius Of Ray Charles.,Ray Charles (artist),TRUE
1961,"Best Vocal Performance Single Record Or Track, Female",Mack The Knife.,Ella Fitzgerald (artist),TRUE
1961,"Best Vocal Performance Single Record or Track, Female",Mack The Knife.,Ella Fitzgerald (artist),TRUE
1961,"Best Vocal Performance Single Record or Track, Male",Georgia On My Mind.,Ray Charles (artist),TRUE
1961,Record of the Year,The Theme From A Summer Place.,Percy Faith and His Orchestra (artist),TRUE
1961,Song of the Year,Theme From Exodus.,Ernest Gold (artist/songwriter),TRUE
1961,Best Spoken Word Album,Hamlet,John Gielgud,FALSE
1962,Album Of the Year - Classical,Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka.,Igor Stravinsky (artist),TRUE
1962,Album of the Year,Judy at Carnegie Hall.,Judy Garland (Artist),TRUE
1962,Album of the Year,The Nat King Cole Story.,"Lee Gillette (Producer), Nat 'King' Cole (Artist and Arranger)",FALSE
1962,Best Album Cover (Other Than Classical),Judy At Carnegie Hall.,"Jim Silke (art director), Judy Garland (artist)",TRUE
1962,Best Album Cover- Classical,Puccini: Madame Butterfly.,"Marvin Schwartz (art director), Gabriele Santini (conductor)",TRUE
1962,Best Classical Performance- Chamber Music,"Beethoven: Serenade, Op. 8/Kodaly: Duo For Violin And Cello, Op. 7.","Jascha Heifetz (artist), Gregor Piatigorsky (artist), William Primrose (artist)",TRUE
1962,Best Classical Performance- Choral (Other Than Opera),Bach: B Minor Mass.,"Robert Shaw Chorale (artists), Robert Shaw Orchestra (artists)",TRUE
1962,Best Classical Performance- Instrumental Soloist (With Orchestra),Bartók: Violin Concerto No. 1.,"Isaac Stern (artist), The Philadelphia Orchestra (artists)",TRUE
1962,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),Reverie For Spanish Guitar.,Laurindo Almeida (artist),TRUE
1962,Best Classical Performance- Orchestra,Ravel: Daphnis Et Chloe.,Boston Symphony Orchestra (artists),TRUE
1962,Best Classical Performance- Vocal Soloist (With or Without Orchestra),The Art Of The Prima Donna.,Orchestra of the Royal Opera House (artists),TRUE
1962,Best Comedy Performance,An Evening With Mike Nichols And Elaine May.,"Elaine May (artist), Mike Nichols (artist)",TRUE
1962,Best Contemporary Classical Composition,Stravinsky: Movements For Piano And Orchestra.,Igor Stravinsky (composer),TRUE
1962,Best Country & Western Recording,Big Bad John.,Jimmy Dean (artist),TRUE
1962,Best Documentary or Spoken Word Recording (Other Than Comedy),Humor In Music.,Leonard Bernstein (artist),TRUE
1962,Best Engineering Contribution - Classical Recording,Ravel: Daphnis Et Chloe.,"Lewis W. Layton (engineer), Charles Münch (conductor)",TRUE
1962,Best Engineering Contribution - Novelty,Stan Freberg Presents The United States Of America.,"John Kraus (engineer), Stan Freberg (artist)",TRUE
1962,Best Engineering Contribution - Popular Recording,Judy At Carnegie Hall.,"Robert Arnold (engineer), Judy Garland (artist)",TRUE
1962,Best Folk Recording,Belafonte Folk Singers At Home And Abroad.,The Belafonte Folk Singers (artists),TRUE
1962,Best Gospel Or Other Religious Recording,Everytime I Feel The Spirit.,Mahalia Jackson (artist),TRUE
1962,Best Instrumental Arrangement,Moon River.,Breakfast at Tiffany's,TRUE
1962,Best Instrumental Theme Or Instrumental Version of Song,African Waltz.,"Cannonball Adderley (artist), Galt MacDermot (composer)",TRUE
1962,Best Jazz Performance - Large Group (Instrumental),West Side Story,Stan Kenton,TRUE
1962,Best Jazz Performance- Soloist or Small Group (Instrumental),Andre Previn Plays Harold Arlen.,André Previn (artist),TRUE
1962,Best New Artist Of 1961,Peter Nero (artist),,TRUE
1962,Best Opera Recording,Puccini: Madame Butterfly.,"Gabriele Santini (artist), Rome Opera Orchestra (artists)",TRUE
1962,Best Original Cast Show Album,How To Succeed In Business Without Really Trying.,"Frank Loesser (composer), Robert Morse (artist), Rudy Vallee (artist), Charles Nelson Reilly (artist), Bonnie Scott (artist), Claudette Sutherland (artist), Sammy Smith (artist)",TRUE
1962,Best Original Jazz Composition,African Waltz.,"Galt MacDermot (composer), Cannonball Adderley (artist)",TRUE
1962,Best Performance by a Chorus,Great Band With Great Voices.,Johnny Mann (artist),TRUE
1962,Best Performance by a Vocal Group,High Flying.,Hendricks And Ross Lambert (artists),TRUE
1962,Best Performance by an Orchestra - for Other Than Dancing,Breakfast at Tiffany's,Henry Mancini,TRUE
1962,Best Performance by an Orchestra- For Dancing,Up A Lazy River.,Si Zentner (artist),TRUE
1962,Best Recording for Children,Prokofiev: Peter And The Wolf.,Leonard Bernstein (artist),TRUE
1962,Best Rhythm & Blues Recording,Hit The Road Jack.,Ray Charles (artist),TRUE
1962,Best Rock & Roll Recording,Let's Twist Again.,Chubby Checker (artist),TRUE
1962,"Best Solo Vocal Performance, Female",Judy At Carnegie Hall.,Judy Garland (artist),TRUE
1962,"Best Solo Vocal Performance, Male",Lollipops And Roses.,Jack Jones (artist),TRUE
1962,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,West Side Story,"Saul Chaplin (music director), Johnny Green (music director), Irwin Kostal (music director), Sid Ramin (music director)",TRUE
1962,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,Blue Hawaii,Elvis Presley,FALSE
1962,Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television,The Parent Trap,Camarata,FALSE
1962,Best Soundtrack Album or Recording of Score from Motion Picture or Television,Breakfast at Tiffany's,Henry Mancini,TRUE
1962,Best Soundtrack Album or Recording of Score from Motion Picture or Television,La dolce vita,Nino Rota,FALSE
1962,Best Soundtrack Album or Recording of Score from Motion Picture or Television,The Guns of Navarone,Dimitri Tiomkin,FALSE
1962,Record of the Year,Moon River.,Breakfast at Tiffany's,TRUE
1962,Song of the Year,Moon River.,Breakfast at Tiffany's,TRUE
1963,Album Of the Year - Classical,Columbia Records Presents Vladimir Horowitz.,Vladimir Horowitz (artist),TRUE
1963,Album of the Year (Other Than Classical),The First Family.,"Vaughn Meader (artist), Bob Booker (producer), Earle Doud (producer)",TRUE
1963,Best Album Cover- Classical,The Intimate Bach.,"Marvin Schwartz (art director), Laurindo Almeida (artist), Virginia Majewski (artist), Vincent De Rosa (artist)",TRUE
1963,Best Album Cover- Other Than Classical,Lena...Lovely And Alive.,"Robert M. Jones (art director), Lena Horne (artist)",TRUE
1963,Best Background Arrangement (Behind Vocalist Or Instrumentalist),I Left My Heart In San Francisco.,"Marty Manning (arranger), Tony Bennett (artist)",TRUE
1963,Best Classical Performance- Chamber Music,"The Heifetz-Piatigorsky Concerts With Primrose, Pennario And Guests.","Jascha Heifetz (artist), Gregor Piatigorsky (artist), William Primrose (artist)",TRUE
1963,Best Classical Performance- Choral (Other Than Opera),Bach: St. Matthew Passion.,"The Philharmonia Chorus (artist), The Philharmonia Orchestra (artist)",TRUE
1963,Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra),Columbia Records Presents Vladimir Horowitz.,Vladimir Horowitz (artist),TRUE
1963,Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra),Stravinsky: Violin Concerto In D.,"Columbia Symphony Orchestra (artists), Isaac Stern (artist)",TRUE
1963,Best Classical Performance- Orchestra,Stravinsky: The Firebird Ballet.,Columbia Symphony Orchestra (artists),TRUE
1963,Best Classical Performance- Vocal Soloist (With or Without Orchestra),Wagner: Gotterdamerung - Brunnhilde's Immolation Scene/Wesendonck Songs.,New York Philharmonic (artist),TRUE
1963,Best Comedy Performance,The First Family.,Vaughn Meader (artist),TRUE
1963,Best Contemporary Composition,Stravinsky: The Flood.,Igor Stravinsky (composer),TRUE
1963,Best Country & Western Recording,Funny Way Of Laughin'.,Burl Ives (artist),TRUE
1963,"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)",The Story-Teller: A Session With Charles Laughton.,Charles Laughton (artist),TRUE
1963,Best Engineered Recording - Classical,Strauss: Also Sprach Zarathustra.,"Lewis W. Layton (engineer), Fritz Reiner (conductor)",TRUE
1963,Best Engineering Contribution - Novelty,"The Civil War, Vol. I>","Robert Fine (engineer), Martin Gabel (artist), Frederick Fennell (artist)",TRUE
1963,Best Engineering Contribution - Other than Novelty and Other Than Classical,Hatari.,"Al Schmitt (engineer), Henry Mancini (artist)",TRUE
1963,Best Folk Recording,If I Had A Hammer.,Peter Paul & Mary (artist),TRUE
1963,Best Gospel Or Other Religious Recording,Great Songs Of Love And Faith.,Mahalia Jackson (artist),TRUE
1963,Best Instrumental Arrangement,Baby Elephant Walk.,Henry Mancini (artist/arranger),TRUE
1963,Best Instrumental Theme,A Taste Of Honey.,"Ric Marlow (composer), Bobby Scott (composer), Eddie Cano (artist)",TRUE
1963,Best Jazz Performance- Large Group (Instrumental),Adventures In Jazz.,Stan Kenton (artist),TRUE
1963,Best Jazz Performance- Soloist or Small Group (Instrumental),Desafinado.,Stan Getz (artist),TRUE
1963,Best New Artist Of 1962,Robert Goulet (artist),,TRUE
1963,Best Opera Recording,Verdi: Aida.,"Rome Opera Orchestra (artist), Gregor Piatigorsky (conductor)",TRUE
1963,Best Original Cast Show Album,No Strings.,"Richard Rodgers (composer), Richard Kiley (artist), Diahann Carroll (artist), Noëlle Adam (artist), Don Chastain (artist), Mitchell Gregg (artist), Bernice Mass (artist)",TRUE
1963,Best Original Jazz Composition,Cast Your Fate To The Wind.,"Vince Guaraldi (composer), The Vince Guaraldi Trio (artists)",TRUE
1963,Best Performance by a Chorus,Presenting The New Christy Minstrels.,The New Christy Minstrels (artists),TRUE
1963,Best Performance by a Vocal Group,If I Had A Hammer.,Peter Paul & Mary (artists),TRUE
1963,Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing,The Colorful Peter Nero.,Peter Nero (artist),TRUE
1963,Best Performance by an Orchestra- For Dancing,Fly Me To The Moon Bossa Nova.,Joseph Harnell (artist),TRUE
1963,Best Recording for Children,Saint-Saens: Carnival Of The Animals/Britten: Young Person's Guide To The Orchestra.,Leonard Bernstein (artist),TRUE
1963,Best Rhythm & Blues Recording,I Can't Stop Loving You.,Ray Charles (artist),TRUE
